id,NUMERO DE POLIZA,FECHA DE POLIZA,ACTIVO,id_aseguradora,usuarios_id
1,03GU068627,2017-01-12,1,1,1
2,03GU068623,2017-01-12,1,1,2
3,45-44-101079204,2017-01-12,1,2,3
4,45-44-101079203,2017-01-12,1,2,4
5,03GU068624,2017-01-12,1,1,5
6,03GU068625,2017-01-12,1,1,6
7,03GU068626,2017-01-12,1,1,7
8,45-44-101079205,2017-01-12,1,2,8
9,03GU068637,2017-01-16,1,1,9
10,03GU068645,2017-01-17,1,1,10
11,03GU068646,2017-01-17,1,1,11
12,03GU068647,2017-01-17,1,1,12
13,45-44-101079345,2017-01-20,1,2,13
14,03GU068769,2017-01-20,1,1,14
15,03GU068771,2017-01-20,1,1,15
16,45-44-101079346,2017-01-20,1,2,16
17,03GU068773,2017-01-20,1,1,17
18,03GU068680,2017-01-18,1,1,18
19,03GU068681,2017-01-18,1,1,19
20,03GU068682,2017-01-18,1,1,20
21,03GU068683,2017-01-18,1,1,21
22,03GU068774,2017-01-20,1,1,22
23,03GU068776,2017-01-20,1,1,23
24,03GU068879,2017-01-20,1,1,24
25,03GU068781,2017-01-20,1,1,25
26,03GU068782,2017-01-20,1,1,26
27,03GU068785,2017-01-20,1,1,27
28,GU068806,2017-01-23,1,1,28
29,45-44-101079365,2017-01-23,1,2,29
30,GU068807,2017-01-23,1,1,30
31,03GU068808,2017-01-23,1,1,31
32,03GU068809,2017-01-23,1,1,32
33,45-44-101079366,2017-01-23,1,2,33
34,03GU068869,2017-01-26,1,1,34
35,03GU068872,2017-01-26,1,1,35
36,03GU068873,2017-01-26,1,1,36
37,03GU068874,2017-01-26,1,1,37
38,03GU068875,2017-01-26,1,1,38
39,03GU068877,2017-01-26,1,1,39
40,03GU068878,2017-01-26,1,1,40
41,03GU068879,2017-01-26,1,1,41
42,03GU068880,2017-01-26,1,1,42
43,03GU068881,2017-01-26,1,1,43
44,03GU068882,2017-01-26,1,1,44
45,03GU068883,2017-01-26,1,1,45
46,03GU068961,2017-01-30,1,1,46
47,03GU068962,2017-01-30,1,1,47
48,03GU068963,2017-01-30,1,1,48
49,03GU068964,2017-01-30,1,1,49
50,03GU068966,2017-01-30,1,1,50
51,03GU068967,2017-01-30,1,1,51
52,03GU068968,2017-01-30,1,1,52
53,03GU068969,2017-01-30,1,1,53
54,45-44-101079661,2017-01-30,1,2,54
55,45-44-101079663,2017-01-30,1,2,55
56,03GU068970,2017-01-30,1,1,56
57,03GU068971,2017-01-30,1,1,57
58,03GU068972,2017-01-30,1,1,58
59,03GU068973,2017-01-30,1,1,59
60,03GU068974,2017-01-30,1,1,60
61,03GU068975,2017-01-30,1,1,61
62,03GU068976,2017-01-30,1,1,62
63,03GU068977,2017-01-30,1,1,63
64,03GU068978,2017-01-30,1,1,64
65,03GU068979,2017-01-30,1,1,65
66,03GU068980,2017-01-30,1,1,66
67,03GU068981,2017-01-30,1,1,67
68,03GU068982,2017-01-30,1,1,68
69,45-44-101079664,2017-01-30,1,2,69
70,45-44-101079665,2017-01-30,1,2,70
71,03GU068983,2017-01-30,1,1,71
72,45-44-101079668,2017-01-30,1,2,72
73,03GU068985,2017-01-30,1,1,73
74,03GU068986,2017-01-30,1,1,74
75,03GU069029,2017-01-31,1,1,75
76,03GU069028,2017-01-31,1,1,76
77,03GU069030,2017-01-31,1,1,77
78,03GU069032,2017-01-31,1,1,78
79,03GU069033,2017-01-31,1,1,79
80,03GU069034,2017-01-31,1,1,80
81,03GU069035,2017-01-31,1,1,81
82,03GU069036,2017-01-31,1,1,82
83,03GU069037,2017-01-31,1,1,83
84,03GU069038,2017-01-31,1,1,84
85,03GU069039,2017-01-31,1,1,85
86,03GU069040,2017-01-31,1,1,86
87,45-44-101079695,2017-01-31,1,2,87
88,03GU069044,2017-01-31,1,1,88
89,45-44-101079696,2017-01-31,1,2,89
90,03GU069045,2017-01-31,1,1,90
91,03GU069046,2017-01-31,1,1,91
92,03GU069047,2017-01-31,1,1,92
93,03GU069048,2017-01-31,1,1,93
94,03GU069049,2017-01-31,1,1,94
95,45-44-101079697,2017-01-31,1,2,95
96,45-44-101079698,2017-01-31,1,2,96
97,03GU069055,2017-01-31,1,1,97
98,03GU069056,2017-01-31,1,1,98
99,03GU069058,2017-01-31,1,1,99
100,03GU069059,2017-01-31,1,1,100
101,03GU069060,2017-01-31,1,1,101
102,03GU069104,2017-01-31,1,1,102
103,45-44-101079711,2017-01-31,1,2,103
104,03GU069061,2017-01-31,1,1,104
105,03GU069062,2017-01-31,1,1,105
106,03GU069063,2017-01-31,1,1,106
107,45-44-101079702,2017-01-31,1,2,107
108,03GU069064,2017-01-31,1,1,108
109,45-44-101079703,2017-02-06,1,2,109
110,03GU069065,2017-01-31,1,1,110
111,03GU069067,2017-01-31,1,1,111
112,03GU069068,2017-01-31,1,1,112
113,03GU069069,2017-01-31,1,1,113
114,03GU069070,2017-01-31,1,1,114
115,03GU069071,2017-01-31,1,1,115
116,03GU06903,2017-01-31,1,1,116
117,45-44-101079705,2017-01-31,1,2,117
118,03GU069074,2017-01-31,1,1,118
119,45-44-101079707,2017-01-31,1,2,119
120,03GU069075,2017-01-31,1,1,120
121,03GU069076,2017-02-01,1,1,121
122,03GU069077,2017-02-01,1,1,122
123,03GU069078,2017-02-01,1,1,123
124,45-44-101079708,2017-01-31,1,2,124
125,30GU138587,2017-02-02,1,1,125
126,03GU069052,2017-01-31,1,1,126
127,30GU138586,2017-02-02,1,1,127
128,03GU069079,2017-02-01,1,1,128
129,45-44-101079709,2017-01-31,1,2,129
130,03GU069080,2017-02-01,1,1,130
131,03GU069081,2017-02-01,1,1,131
132,03GU069082,2017-02-01,1,1,132
133,03GU069083,2017-02-01,1,1,133
134,03GU069084,2017-02-01,1,1,134
135,45-44-101079710,2017-01-31,1,1,135
136,03GU069108,2017-02-01,1,1,136
137,03GU069085,2017-02-01,1,1,137
138,03GU069086,2017-02-01,1,1,138
139,03GU069088,2017-02-01,1,1,139
140,03GU069087,2017-02-01,1,1,140
141,45-44-101079748,2017-02-01,1,1,141
142,03GU069091,2017-02-01,1,1,142
143,03GU069090,2017-02-01,1,1,143
144,03GU069089,2017-02-01,1,1,144
145,03GU069095,2017-02-01,1,1,145
146,03GU069094,2017-02-01,1,1,146
147,03GU069093,2017-02-01,1,1,147
148,03GU069101,2017-02-01,1,1,148
149,03GU069099,2017-02-01,1,1,149
150,03GU069100,2017-02-01,1,1,150
151,03GU069098,2017-02-01,1,1,151
152,03GU069097,2017-02-01,1,1,152
153,03GU069098,2017-02-01,1,1,153
154,03GU069116,2017-02-01,1,1,154
155,03GU069117,2017-02-01,1,1,155
156,03GU069118,2017-02-01,1,1,156
157,03GU069131,2017-02-01,1,1,157
158,03GU069124,2017-02-01,1,1,158
159,03GU069129,2017-02-01,1,1,159
160,03GU069126,2017-02-01,1,1,160
161,45-44-101079827,2017-02-01,1,2,161
162,03GU069196,2017-02-03,1,1,162
163,03GU069185,2017-02-03,1,1,163
164,03GU069207,2017-02-03,1,1,164
165,03GU069212,2017-02-06,1,1,165
166,45-44-101079953,2017-02-03,1,2,166
167,03GU069204,2017-02-03,1,1,167
168,03GU069189,2017-02-03,1,1,168
169,03GU069190,2017-02-03,1,1,169
170,45-44-101079955,2017-02-03,1,2,170
171,45-44-101079957,2017-02-03,1,2,171
172,03GU069192,2017-02-03,1,1,172
173,03GU069208,2017-02-03,1,1,173
174,03GU069195,2017-02-03,1,1,174
175,45-44-101079954,2017-02-03,1,2,175
176,03GU069238,2017-02-07,1,1,176
177,03GU069239,2017-02-07,1,1,177
178,03GU069240,2017-02-07,1,1,178
179,03GU069241,2017-02-07,1,1,179
180,03GU069267,2017-02-08,1,1,180
181,N/A,2017-01-01,1,3,181
182,03GU069366,2017-02-14,1,1,182
183,03GU069389,2017-02-16,1,1,183
184,03GU069427,2017-02-17,1,1,184
185,03GU069430,2017-02-17,1,1,185
186,03GU069428,2017-02-17,1,1,186
187,03GU069436,2017-02-21,1,1,187
188,03GU069516,2017-02-21,1,1,188
189,15-44-101178382,2017-02-28,1,2,189
190,03GU069599,2017-02-28,1,1,190
191,03GU069598,2017-02-28,1,1,191
192,45-44-101080954,2017-03-01,1,2,192
193,03GU069590,2017-02-28,1,1,193
194,45-44-101080962,2017-03-01,1,2,194
195,45-44-101080955,2017-03-01,1,2,195
196,03GU069611,2017-03-01,1,1,196
197,03GU069753,2017-03-08,1,1,197
198,03GU069750,2017-03-08,1,1,198
199,03GU069751,2017-03-08,1,1,199
200,03GU069755,2017-03-09,1,1,200
201,03GU099811,2017-03-13,1,1,201
202,03GU069862,2017-03-16,1,1,202
203,03GU069957,2017-03-23,1,1,203
204,03GU07044,2017-04-05,1,1,204
205,03GU070353,2017-04-24,1,1,205
206,03GU070327,2017-04-21,1,1,206
207,03GU070324,2017-04-21,1,1,207
208,03GU070365,2017-04-25,1,1,208
209,03GU070385,2017-04-26,1,1,209
210,03GU070757,2017-05-25,1,1,210
211,03GU070842,2017-06-01,1,1,211
212,03GU070843,2017-06-01,1,1,212
